,Gold,Silver,Bronze,Total
Gold,1.0,0.910949580602071,0.8806701044363455,0.9609933253364161
Silver,0.910949580602071,1.0,0.9400450191907697,0.9797665154035812
Bronze,0.8806701044363455,0.9400450191907697,1.0,0.9683786314371512
Total,0.9609933253364161,0.9797665154035812,0.9683786314371512,1.0
